text,text_length,original_index,paragraph_index,original_text_length,paragraph_length,source_type
依据2014年全国环境保护工作会议给出的数据，截至2013年底，103家改革试点单位中47家完成改制，16家退出环评市场，完成此前设定的2015年年底前全面脱钩目标仍为时尚早。“环评腐败”随着中央第三巡视组的反馈，成为环保部身上的“包袱”。在专项巡视反馈会上，首次以环保部官员身份示人的陈吉宁，力争要摘掉卸掉这个“包袱”，着力推进环评改革。,2129,96,2,2129,170,split_paragraph
巡视组反馈结束一周后，还未接任环保部部长的陈吉宁即在全国环保系统党风廉政建设工作暨巡视整改落实动员视频会上，表态要全面清理环保系统领导干部及其亲属违规插手环评审批或开办公司承揽环评项目，严肃责任追究。3月6日，陈吉宁履新部长刚刚一周，环保部就公开通报查处63家违规环评机构和22名环评工程师。63家，是此前两年查处总和的40%，环保部此前曾分5批处理159家违规环评机构。第二天的全国人大记者会上，陈吉宁公开强调决不允许“卡着审批吃环保、戴着红顶赚黑钱”。,2129,96,3,2129,228,split_paragraph
约谈4城市主要负责人3月25日下午，环保部公布对河南省驻马店市政府约谈的情况。在新闻通稿中，环保部特别指出，“此次针对平舆县人民政府环境管理不到位问题约谈驻马店市人民政府主要负责同志，是对地方各级人民政府依法履行环境保护责任的警示。” 因平舆县政府在环境问题处理中进度缓慢、要求落实不彻底。环保部要求驻马店市人民政府在督促整改之外，要依法依规严肃追究平舆县人民政府相关人员的责任，对发现的有关违法违纪线索，按照程序移交纪检监察机关。这样严厉的表述是第一次。,2129,96,4,2129,228,split_paragraph
重点问责政府，是陈吉宁在履新之初，谈及工作计划时，面向公众的公开表态。3月1日下午，履新环保部长不足48小时的陈吉宁，即召集媒体座谈会。在座谈会上，陈吉宁向媒体“交底”，开腔谈及自己的工作计划。在表态要做好的5件事中，陈吉宁将全力贯彻落实好新《环保法》放在第一 “位，其中特别强调“重点要加强对地方政府的监督，督促地方政府切实负起责任”。自陈吉宁1月28日进入环保部以来，环保部先后约谈河北省沧州市、临沂市、承德市及河南省驻马店市等4个城市的主要负责人。其中，此次对驻马店市政府的约谈，规格升级。,2129,96,5,2129,248,split_paragraph
驻马店市副市长张昕被请到北京，由环境保护部环境监察局局长邹首民亲自约谈，邹首民在用词上相当严厉。此次约谈前，3月20日，环保部刚刚下发2015年《全国环境监察工作要点》，其中指出环境执法监察要由“以查企业为主”转变为“查督并举、以督政府为主”。走访环保部华北督查中心“霾”是环保部长无法回避的问题。在3月7日的全国人大记者会上，陈吉宁表示以前当校长，起床第一件事是想学生的事情，到了环保部每天起来第一件事情是去看天。“从治霾开始”是许多人对新环保部长的期待，但陈吉宁的做法略有不同。,2129,96,6,2129,241,split_paragraph
大气污染防治专项执法检查是自“大气十条”实施以来，环保部的例行工作内容。3月17日，环保部在对3月下旬的专项检查部署中提到，要将检查结果作为对地方政府考核的依据。这是大气污染防治专项检查首次与地方考核挂钩。历次“霾伏”中，京津冀经常是“重灾区”。3月23日，陈吉宁专程走访环保部华北督查中心。依据分工，华北督查中心负责的是北京、天津、河北、山西、内蒙古、河南等区域环境执法督查。在此次督查中，陈吉宁重点询问了综合督查有关重点城市的空气质量状况。,2129,96,7,2129,222,split_paragraph
3月20日，陈吉宁曾召开环保部督查工作座谈会，指出区域督查是环境保护的重点之一，是守好底线的重要保障。他强调说，2015年是新《环境保护法》的实施年，新法能不能装上‘钢牙利齿’，关键在于执法督查工作是不是严格到位。”当天发布的2015年《环境监察工作要点》，明确指出，严格环境监管执法是2015年乃至今后环保工作的重中之重。同时，要加强与公检法在环境执法工作中的衔接配合，对涉嫌环境污染犯罪的案件发现一起、查处一起、移送一起。,2129,96,8,2129,213,split_paragraph
包括但不限于冷幽默黄色笑话。最好能列出来一般是在什么样的场合讲的，如何讲（语气神态节奏能描述就描述），有什么趣事之类的。从前有一个王子，被巫师施了法术，每年只能说一个字。然后他等了五年，向心爱的公主表白说：“公主，我爱你！”， 公主说了一个字，王子就昏倒了。,146,98,0,146,129,split_paragraph
爱好哲学兴趣性格艺术我有个小爱好，是抽雪茄，通过雪茄认识了许多新朋友，其中有一位哥哥，很想把这个爱好变成职业，在他玩雪茄的时候就和我说过，他打算弄一个卖雪茄的店，本来自己也抽，但确实比较烧钱，想弄个小微商加点利润卖一卖，这样的话能搞个以贩养吸，自己还能少花点钱。我表示赞同，确实这样是个好方法，其实本来也不缺钱，只不过家中夫人管的严，这样能少花点钱也不会再说什么了。,240,100,0,240,183,split_paragraph
修改后的管理规范规定，企业应当在药品采购、储存、销售、运输等环节采取有效的质量控制措施，确保药品质量，并按照国家有关要求建立药品追溯系统，实现药品可追溯。《国家食品药品监督管理总局关于修改〈药品经营质量管理规范〉的决定》已于2016年6月30日经国家食品药品监督管理总局局务会议审议通过，现予公布，自公布之日起施行。修改后的管理规范规定，企业应当在药品采购、储存、销售、运输等环节采取有效的质量控制措施，确保药品质量，并按照国家有关要求建立药品追溯系统，实现药品可追溯。,700,103,0,700,235,split_paragraph
修改后的管理规范同时规定，从事疫苗配送的，还应当配备2名以上专业技术人员专门负责疫苗质量管理和验收工作。专业技术人员应当具有预防医学、药学、微生物学或者医学等专业本科以上学历及中级以上专业技术职称，并有3年以上从事疫苗管理或者技术工作经历。此外，修改后的管理规范规定，储存、运输冷藏、冷冻药品的，应当配备以下设施设备：——与其经营规模和品种相适应的冷库，储存疫苗的应当配备两个以上独立冷库；——用于冷库温度自动监测、显示、记录、调控、报警的设备；——冷库制冷设备的备用发电机组或者双回路供电系统；,700,103,1,700,248,split_paragraph
——对有特殊低温要求的药品，应当配备符合其储存要求的设施设备；——冷藏车及车载冷藏箱或者保温箱等设备。修改后的管理规范还规定， 企业应当建立能够符合经营和质量管理要求的计算机系统，并满足药品追溯的要求；,700,103,2,700,101,split_paragraph
B类(商务，旅游，探亲)、C类(过境签证)、F类(留学签证)、J类 (交流学生，访问学者)签证申请费(160美元)调整至1088元人民币，比以前1072元人民币签证费上涨16元人民币;H类(工作签证)、L类(公司内部调职者工作签证)、O类(杰出人才)、P类(运动员、 艺术家和演艺人员)、Q类(国际文化交流)和R类(宗教工作者)签证申请费(190美元)调整至1292元人民币;K类(美国公民的未婚夫妻或配偶)签证申请费(265美元)调整至1802元人民币;E类签证(条约交易者/投资者、澳大利亚专业人士)申请费(205美元)调整至1394元人民币。,1384,105,0,1384,274,split_paragraph
签证类型及相应的申请费-按签证类型分类签证类型 说明 费用 （美元）费用 （CNY）B 商务/旅行 $160 1088C-1 过境 $160 1088CW 北马里亚纳群岛联邦的过渡工作者 $190 1292D 船员/机组人员 $160 1088E 条约交易者/投资者、澳大利亚专业人士 $205 1394F 学生（学术性） $160 1088H 临时/季节性工作者和工作人员、受训人员 $190 1292I 记者和媒体 $160 1088J 交流访问学者 $160 1088K 美国公民的未婚夫（妻）或配偶 $265 1802L 公司内部调职者工作签证 $190 1292M 学生（专业性） $160 1088O 杰出人才 $190 1292P 运动员、 艺术家和演艺人员 $190 1292Q 国际文化交流 $190 1292R 宗教工作者 $190 1292T 人口贩卖受害者 $160 1088U 犯罪活动受害者 $160 1088TN/TD 北美自由贸易协定(NAFTA)专业人士 $160 1088另外已经缴纳美国签证费的人请不要着急，他们的签证费还是一年有效，从缴纳签证费的那天算起，不需要补交任何费用，超过一年还没有递交美国签证申请则签证费立即作废，不能继续使用。,1384,105,1,1384,539,split_paragraph
请申请美国签证费的人注意。无需申请费的签证类型及适用条件-A类、G类、C-2类、C-3类、NATO类签证，及美国联邦法规22CFR41.26中定义的外交签证申请人-持有J类签证申请人参与美国政府官方资助的教育和文化交流项目的申请人-非申请人原因造成原签证粘贴错误或签证需重新签发，需在签证签发一年内更换可机读签证的情况-根据国际协议获得豁免的申请人，包括联合国大会承认的联合国总部观察团成员、职员及其直系亲属。,1384,105,2,1384,205,split_paragraph
-提供某些慈善服务的申请人-因公出差的美国政府雇员-参加因公殉职的美国政府雇员丧礼和/或葬礼的死者父母、兄弟姐妹、配偶或子女，或由于因公严重受伤的美国政府雇员在其急救及康复期间进行探访的伤者父母、兄弟姐妹、配偶或子女一个美签，走遍世界!因为你可以免签去很多国家!墨西哥 智利 格鲁吉亚 哥伦比亚 巴拿马 菲律宾 韩国(过境)等……,1384,105,3,1384,165,split_paragraph
之前就说过，10月最期待大片非《但丁密码》莫属 啊，同步北美上映，呱唧呱唧嘘~关起门来说话，据说因为总菊完成年度票房KPI亚历山大，所以10月11月好些个大片同步北美还有，它保留了《达芬奇密码》的全部班底 嗯，就这两点已经期待值max然鹅，北美先期评价扑了个大街 MTC评分也仅有38 这就尴尬了……豆瓣网友评论中，有说好的：“坐等伊斯坦布尔的美景呢~” 吐槽的则比较多：“强调动作，忘记剧情，像是欧洲观光片” 尽管有吹有弹，但是两极评论重叠的部分竟然在“嗯，景色很美”上……额……,1391,106,0,1391,241,split_paragraph
这特么又尴尬了，毕竟奥斯卡金牌班底的追求不是这么一丢丢而已吧不过暂且不说别的，《但丁密码》的确是一部上乘的欧洲风光大片！取景地都是绝佳的蜜月旅行地啊：艺术之都佛罗伦萨、水城威尼斯、还有伊斯坦布尔听听这些大教堂的名字，逼格满满：维奇奥宫、碧提宫、圣母百花大教堂、圣马可大教堂……而且，影片几乎都是实景拍摄导演也傲娇满满的说：“我们真的登上了威尼斯圣马可大教堂的穹顶”但是，等等，难道奥斯卡金牌阵容的十年回归之作就是一部风光片……而已吗？,1391,106,1,1391,217,split_paragraph
相比前作《达芬奇密码》，《但丁密码》的故事格局瞬间放大：拯救全人类！,1391,106,2,1391,34,split_paragraph
开篇，Wuli哈佛大学的天才教授兰登在佛罗伦萨的一家医院中醒来，但是他竟然失忆到连“咖啡”怎么说都忘记了更要命的是，刚刚从昏迷中醒来的他竟然受到多组人马追杀还好，又有颜又有脑的女医生帮助他脱离险境 在一系列的逃亡中，兰登教授发现了一个惊天大秘密：有一个闲的蛋疼的亿万富翁妄图利用病毒把地球变成但丁《神曲》中描绘的地狱，要杀死地球上一半的人口所以，兰登教授此次的解密行动不再是为了自己，而是为了全人类这个剧情设定虽然老套，但这是老美很拿手的美式个人英雄主义啊既然故事升级，那么讲故事的方式也同步升级为高配版：《但丁密码》又有做成动作片的野心不得不说，《但丁密码》的节奏是最大亮点相比《达芬奇密码》中过分冗杂的铺垫和讲述，《但丁密码》的可看性大大提高从开头的医院枪战到教堂穹顶的追击战再到高潮段落的水中激战完全不会让观众陷入难搞的宗教历史中，而是制造出一个又一个“点”紧密排布，高潮频频甚至一度让观众觉得在看呆萌的《谍影重重》包括摄影在内，晃动的摄影和不停的闪回，都和谍影系列“撞脸”在商业化方面，《但丁密码》做的很好，很有好莱坞大片气质但是，这个“大片气质”却更像浓妆艳抹的过分粉饰“卸妆”以后，它本身最大的亮点却弱化了不少——符号化的解密《达芬奇密码》中最让迷妹津津乐道的不外乎是一个又一个诡异的符号：死者造型 鸢尾花钥匙 藏密筒 而每个符号背后都和宗教相对，每个符号又成为发现下一个符号的线索之一层层伏笔，层层解密，再穿上宗教的“外衣”，令整部片子在悬疑片中的气质出挑它主打的是推理解密，追击枪战等则是辅助但是在《但丁密码》中，这个主次却被“完美”的颠倒过来以致于迷妹最期待的悬疑解密感少的可怜，却看了一部又像风光片、又像动作片的“四不像”这不应该是导演朗·霍华德的水准啊，他可是小金人认证过的金牌导演 2001年他的《美丽心灵》就拿到了包括最佳导演在内的四座小金人 而《美丽心灵》恰恰也有他最擅长的悬疑、推理、惊悚元素而纵观“兰登三部曲”的分数直线下降，是不是有砸了招牌的嫌疑？,1391,106,3,1391,841,split_paragraph
当时经营香港房地产业务，而当时主要投资者王丽明，由于经营和财政严重问题，于是被港交所自动停牌，直至1995年10月15日，正式被永兴集团有限公司合并，组成瑞昌控股有限公司正式取代上市。,230,107,0,230,92,split_paragraph
给家人买了部小米手机，结果用了不到半年就充不上电了，以前也用过小米的第一代产品，那质量真的没得说，但是现在的小米手机的质量真心感觉一代不如一代，所以在此斗胆问一下各位，你们小米照这样发展下去还能撑多久？,120,108,0,120,101,split_paragraph
当时的陈家传人陈近南被奉为盟主。他本人极痛恨满洲人的统治，他带同其它世家先远赴台湾投靠延平王府。继续抵抗满清。后来陈近南等人又潜返中原，创立天地会，积极进行反清复明的行动。,174,109,0,174,86,split_paragraph
？我大概就下载30个APP，100多首歌，然后照片拍的不会太多，偶尔玩个游戏，对我来说16G的够用吗？求大神分析！绝对够用，一直买的16G就从没用完过。先放一张图吧。说一下我是怎么用的吧。1. 照片视频定期转电脑 想必所有人都对照片视频很重视，既然很重视，为什么不转到电脑里并在移动盘备份？成天放手机里首先会拖慢会访问照片的App，其次有几个人会成天都把之前拍过的照片视频看一遍？要看照片视频用电脑和用手机哪个效果好自行判断。,273,110,0,273,213,split_paragraph
看了速度与激情6，在1小时30分，坦克在公路上飞驰，其他的汽车相对于坦克那么不堪一撞，就好像是玩具似的，全部都成了坦克轮下的废铁，我想问问大家，坦克的破坏力到底有多强。,148,113,0,148,84,split_paragraph
嗯哼，作为从业者说几个数据吧。我们整个企业今天到现在为止总计接单一共六十几万对， 其中布鞋（冷粘工艺）包括布配皮合计25万对，店内搜索页-热风男鞋旗舰店 （最后一个款是我们生产的）， 软底软面类型4万对，（没有图片，懒得找） 布洛克及其变形3万对， 其他不计。不过以上不代表流行。如果说今年整体的流行元素应该是由于都教授的影响（还有过完各大街拍网站，女生各种搭配运动元素）带动起来的运动风。,211,116,0,211,195,split_paragraph
没想到一年前的提问现在火了......完善下描述消除歧义吧。是指整个世界回溯到1年前的时间点，但唯一的改变是所有人都保留了这一年的记忆（记忆水平为正常水平）。这一年死去的人同样随着回溯复活，保留生前的记忆。许多回答还是想当然了，比如“某某突然宣布”这类的新闻。实际上是处于一种曾经发生过的大事件，所有人都心知肚明的诡异氛围中。还会有更多怪异的情境。例如这一年某人发现了被欺骗的事实，回溯到未曾发生的时间点，但双方都已知晓。甚至是犯罪事件，被谋杀者复活，谋杀还未发生，但杀人者和被害都保留着记忆。,280,117,0,280,247,split_paragraph
请问各位觉得哪个出版社谁翻译的理想国比较好？忍不住了，作为一个在美国读古希腊哲学博士的，必须回答这个问题。很遗憾的是我完全不了解汉译版，只能说说英译版。首先，John Cooper编的 Plato Complete Works是一本哲学界公认的译本，似乎只有Hard copy。John Cooper 本身在Princeton教古希腊哲学，这本书不是一个人翻译的，而是搜集了各家的翻译（因此我觉得王晓朝教授一个人翻译全部让我很吃惊。,274,119,0,274,216,split_paragraph
胶囊咖啡机相比之下还要少了磨豆等部件成本应该更低才对啊，这中间有些不解，特地来向问答社区大神求惑！1.5k半自动意式机才刚入门呢。,271,121,0,271,65,split_paragraph
必须是打死蒙哥大汗的那个无名小（杨）兵（过）啊。直接导致阿里不哥和忽必烈争夺汗位。间接导致南宋军事压力大减，又给小朝廷续了20多年。间接导致忽必烈的弟弟旭烈兀回到中国给忽必烈助阵，拯救了命悬一线的伊斯兰教。间接导致支持阿里不哥的金帐汗国与支持忽必烈的伊尔汗国决裂，使金帐汗国停止西征，开始与伊尔汗国的内战，基督教世界躲过一劫。,224,123,0,224,163,split_paragraph
大概三四年前吧，我家附近的村子里发生了一件谋杀案。并没有亲眼见到，但是影响挺大的。起因是一个女孩子因为受不了她男朋友的控制欲，就提出了分手。两个人家离得不远，男朋友就在放学后找上了门（俩人都还是学生）。男友请求女友原谅，但是女友已经厌倦了她男友的口是心非，义正言辞地拒绝了。男友见其要坚持分手，想要霸王硬上弓，未果，就起了杀念。随后就用一把水果刀还是什么刀，杀了女友。,212,124,0,212,184,split_paragraph
关于她的弟弟，她的父母，都是热点话题。我们就来说说，范冰冰一家子，以及她与汤唯交恶内幕。范冰冰至今没有结婚，而汤唯已经嫁给了韩国导演。范冰冰与汤唯交恶是在《色戒》成名后。她们之所打架产生矛盾都是因为钱惹的祸，两人在争抢一款千万代言顶级跑车时开战的，车公司对两人综合比较后，对汤唯情有独钟，这下可惹恼了范冰冰大小姐，想想人家现在的地位与名气，要是输给名落孙山的汤唯后果可想而知。在这个时候娱乐圈人都会注重面子，范小姐不可否认选择向汤唯“开战”，两人由此结下梁子。,980,125,0,980,230,split_paragraph
范冰冰与汤唯交恶，范的公司回复很荒唐居然声称不认识汤唯与她没有接触过，此举我觉得是看不起汤唯的意思，原因很简单现在冰冰牛了，像汤唯那样的根本不看在眼里。两个人都是娱乐圈摸爬滚打的人物，怎么可能没有碰过面呢？,980,125,1,980,103,split_paragraph
演艺圈每年有各种各样的活动，出道这么久了，一次都没有谋面还真让我难以相信，记得范冰冰是一个很要强的艺人，有几次因为穿着与汤唯有雷同（俗称撞衫）就大骂对方不是好玩意，可以想想范小姐现在的虚荣心有多强，从现在的人气和大家的喜爱程度上，觉得范冰冰都要高于汤唯，外表上两人都长的很漂亮，范冰冰的五官很精致，搭配在一起让人觉得很妩媚，人们可以张口就说出她演的几部戏。给人的感觉还是很一般，人们提到她只能说出那部色戒，除此以外她的经历和别的戏鲜有人知道了。,980,125,2,980,222,split_paragraph
我觉得车方偏向汤唯可能还是因为范冰冰造成的，因为这个广告范要价肯定会比汤唯高，更何况范有无数广告太多广告也许车的效果表现不出应有的价值，而汤唯就不同了她现在的人气很低，要价也很低，我是车主也会选择汤唯的。李安导演作品上映后，范冰冰还直言：脱的那么光，言下之意是认为汤唯太那个啥了。试问，冰冰小姐你在苹果里不是也很精彩嘛。大哥不说二哥，都差不多。现在汤唯远嫁韩国，范冰冰依然光棍无主，大家喜欢汤唯多，还是喜欢范冰冰多。【趣味测试1：一般人是猜不到的！,980,125,3,980,224,split_paragraph
不信就来试试】女孩身上有一个部位，爸爸妈妈都可以可以碰两下，男朋友可以碰一下，老公一下都不能碰，是哪个部位?【趣味测试2：极度恐怖诡异的图片！一般人是看不出的】这张照片看似普通，其实有很多诡异之处，你看出几处了？看出4处的观察力还不错，看出6处的观察力很厉害，看出8处的就很了不起了，10处以上嘛……嘿嘿！,980,125,4,980,153,split_paragraph
1.请回答尽量能使软件工程专业大二（学了C语言数据结构数字逻辑）的学生能听懂。2.我该怎么入门使用Linux？我觉得使用Linux不仅仅是让你计算机水平提升这么简单，它更多地是带给你一种不同的世界观。技术无好坏之分，关键是看你如何去认识它。作为一名计算机系的学生，很有必要去接触一下Linux，它会拓宽你的技术视野，提升你思考的能力。,208,128,0,208,167,split_paragraph
在追求这个姑娘，然而姑娘并不喜欢我，已经拒绝我两次，但并不完全拒绝我对她的好。姑娘漂亮，无恋爱经验，人很宅。只是真的有可能活到25岁还没喜欢过一个人么？题煮 不知道 你有没有看过一部电影叫做 立春。里面蒋雯丽说过一句话，“宁要仙桃一口，不要烂杏一筐”。好像是这么一句话，时间久远，我已经忘记了。类似是这个意思。在这里我不是说你是烂杏，而是想告诉你，每个女生无论岁数无论长相无论富贵， 对于她想在一起的人，她都是有她所要求的最低标准的。而题煮你所提的女生既然拒绝你两次。,298,129,0,298,234,split_paragraph
牛肉混沌也很好，怎么把牛肉做得这么嫩，确实是绝招。环境就不能要求太高，不过个人觉得卫生是有保证的，因为发现每隔一会儿厨房人员就会把自己脏了的工作服送到一个小窗口去换干净的。,132,130,0,132,86,split_paragraph
很爱他们家的茉茶珍珠，和Q，也不甜，虽然吃不太出茉茶味，不过和奶绿搭配还是很协调的。,92,131,0,92,42,split_paragraph
克拉克的职业生涯始于二战期间，那时她在英国广播公司电台里作艺人。1950年代，她开始用法语演唱，并以《The Little Shoemaker》、《With All My Heart》、《Prends Mon Cœur》在法语圈、英文圈获得了国际上的成功。1960年代，她开始在全球走红，并被称为“英国入侵第一女士”。,215,132,0,215,159,split_paragraph
匿了，首先大致看来，妹子在朋友圈的行为分为两类：A.喜欢发东西 B.不喜欢发东西 A类 一目了然 如果恋爱了 可能会有两人合影之类的 把握蛛丝马迹 能看到的 如果都是和好朋友的照片，要么他是个万人迷，也可能在追寻某人，也可能没遇到合适的，so... B类 这类妹子比较不好搞定了 你可以看看微博或者其他社交工具里面 有没有经常互动的ID 还有QQ空间 都是不错的 一般这类妹子说什么孤单寂寞，大可不必多想，祝你好运。,235,133,0,235,208,split_paragraph
古希腊克罗丰的说教诗人之一，他的两首六音步说教诗被完整的保留下来：《毒蛇等咬伤治疗》和《毒与解毒剂》。现存有其他诗篇片段。,92,139,0,92,61,split_paragraph
本来不怎么看武侠剧的，今晚恰好看到神雕侠侣，就对这个感到好奇了。问度娘也没看到个比较有说服力的1郭靖，不用解释，公认的江湖第一人。降龙十八掌40年全本九阴真经左右互搏空明拳单人开动天罡北斗阵最顶级远程射术最顶级近身搏斗最强坐骑最浩然正气，可怕的是他不光配置牛逼，实战经验也是最丰富的。如果谁质疑郭靖的第一人地位，我怀疑你是不是疯了。2杨过，主角能差到哪里去？虽说断了一臂，但金庸也待杨过不薄，原文明说黯然销魂掌全天下只有郭靖的降龙十八掌可以匹敌。,264,140,0,264,223,split_paragraph
”还在10米开外，步行街那边的促销声和叫卖声就已经在耳边响起，夹杂着此起彼伏的音乐声，让整条街道显得有些聒躁。近来，不少网友在浏阳论坛发帖称商店的音响促销声很大，过路行人连接听电话都困难。近日，记者来到步行街、人民中路实地感受了一番，短短不倒500米的步行街上就有近10家商铺门口摆放着音响，一起播放着音乐，其中还有两家店铺的工作人员拿着话筒喊着本店的促销活动内容，声音极大。“无论是店铺的商业促销还是流动叫卖都是不被允许的。,415,146,0,415,213,split_paragraph
”对此，市城管局办公室相关负责人介绍说，去年共接到近40起相关投诉，并对人民路和步行街的高音喇叭扰民现象进行了一次大整治，今年以来这种现象有所改善。,415,146,1,415,74,split_paragraph
题主是因为看到“XX到底哪里糟糕”的其他问题，作为即将去德国留学交流的人，好奇地提了这个问题。并没有对德国不满和抱怨的意思。相关问题：来德Bonn一个月，（又在法兰克福待了大概四个月，现在在bad Homburg）说一说糟糕的事。Bonn的人真的是超级nett，不知道其他的城市的人怎么样啊 我就先说说我眼中的波恩 1.周日一般店都关门！,285,148,0,285,169,split_paragraph
除了土耳其的一些饭店，好不容易抽出空来还不让逛街了，快递也不送，奶奶的 2.出门去商场要尿尿我去，还要收费也不知道多少钱就憋了一个小时坐车回家了，我的尿还这么值钱？,285,148,1,285,82,split_paragraph
打进身体的弹头，如果是硬度很高的钢芯弹，确实有可能会原模原样，但大部分，或多或少会有形变，有的干脆就会四散开来，这是它的杀伤原理。而你能看到很多影视作品里，打进墙里或者打进别的硬度远高于人体的物体里的弹头，被挖出来的时候依然没有形变，就有些扯了。当然，本身作为一个影视从业人员，也愿意说两句。,214,149,0,214,146,split_paragraph
如果把它放在成功学的范畴里那其他很多书讲的是术这本书讲的是道。最近越来越感到中国人对成功的定义越来越狭隘做官和挣钱几乎成了评价成功的唯一标准。不仅如此在伟大的社会主义中国等级观念异常严重。人上人上流社会这些词汇频繁出现。所有这些都成为了我们不幸福的根源。,181,151,0,181,127,split_paragraph
希望能有个高僧给回答一下。这个问题一直困扰我好久了。像济公那样的高僧活佛，每天吃肉喝酒，可一样有菩萨心肠。老有想知道怎样一口吃掉整只汉堡包的问题，我就不怀好意的反问几个问题，男人为什么叫男人，人为什么吃馒头不吃草，为什么天上太阳只有一只，为什么有人喜欢贪钱，为什么有人信上帝，为什么LT26i屏幕没GALAXY Note大，为什么有个山寨人人网的网站叫脸书不翻墙还上不去，为什么有人会出家，为什么和尚要守戒律，守戒律有什么好处，不守戒律有什么后果。,274,154,0,274,224,split_paragraph
最近装修想要选购一套比价靠谱的，之前租房那些柜子气味很大首先一般家庭看三项（有钱随便买，可以不看） 1.性价比 2.质量承诺 3.环保承诺 不要迷恋进口板材或木材，在中国真假难分，你懂得。板材方面选带实木的板材（实木颗粒除外）还不如直接买实木。板材市面上人多是中纤板和刨花板，这两种都是由木材粉碰经过高温高压压成（中间肯定有加胶水）环境比较难保证。但优质的产品价格和物理性非常接近，选品牌没错。,261,156,0,261,197,split_paragraph
随着国家煤炭去产能政策的有效执行，全省煤炭产量继续下降，全省累计生产原煤3.21亿吨，同比下降9.93%，煤炭铁路运输6230.9万吨，同比下降4.9%。省内煤炭价格普涨持续，动力煤涨幅扩大，为了有效保障省内煤电健康平衡的发展，9月28日我委组织有关单位召开了今冬明春电煤保供工作的专题会议，并于9月30日参加了陕煤集团召开的关于部署电煤供应具体事项的专题会议，研究部署了今冬明春电、煤、热稳定供应有关工作。,4150,159,0,4150,204,split_paragraph
截至9月底，全省累计完成发电量970.27亿千瓦时，同比增长15.98%，全省全社会用电量975.76亿千瓦时，同比增长9.47%。一、全省煤炭产、销、存及主要产煤区价格情况据省煤管局快报统计数据：1-9月份，全省累计生产原煤32117.94万吨，同比减少3539.11万吨，下降9.93%，降幅较1-8月收窄0.98个百分点。,4150,159,1,4150,164,split_paragraph
其中：央企神东煤炭集团在陕煤矿煤炭产量6477.92万吨，同比减少1273.84万吨，下降16.43%;省属国有重点煤矿煤炭产量8659.42万吨，同比减少740.23万吨，下降7.88%;地方煤矿煤炭产量16980.6万吨，同比减少1559.31万吨，下降8.41%。9月份，全省119处矿井生产原煤3298.92万吨，同比减少920.54万吨，下降21.82%，环比减少982.68万吨，下降22.95%。,4150,159,2,4150,205,split_paragraph
1-9月份，全省累计煤炭销量31799.58万吨，同比减少2944.03万吨，下降8.47%，降幅较1-8月收窄1.08个百分点。其中：央企神东煤炭集团有限责任公司在陕煤矿煤炭销量6213.71万吨，同比减少1083.66万吨，下降14.85%;省属国有重点煤矿煤炭销量8594.63万吨，同比减少711.5万吨，下降7.65%;地方煤矿煤炭销量16991.24万吨，同比减少1183.32万吨，下降6.51%。,4150,159,3,4150,206,split_paragraph
9月份，全省煤炭销量3972.26万吨，同比减少139.06万吨，下降3.38%，环比减少316.37万吨，下降7.38%。截止9月底，全省煤炭生产企业库存286.95万吨，同比减少77.70万吨，下降21.43%。其中：央企神东煤炭集团有限责任公司在陕煤矿煤炭库存18.60万吨，同比减少2.40万吨，下降11.43%;省属国有重点煤矿煤炭库存107.50万吨，同比减少105万吨，下降49.42%;地方煤矿煤炭库存160.85万吨，同比增加29.7万吨，增长22.65%。,4150,159,4,4150,238,split_paragraph
9月份，陕西省内煤炭各主产区价格普遍持续上涨。铁路运力不足和国家加强汽车超限超载治理等因素制约省内电煤发运量，导致省内发电企业电煤库存普遍偏低，四季度电煤采购需求较大。随着国家有关部门《关于适度增加部分先进产能投放保障今冬明春煤炭稳定供应的通知》的执行，预计四季度省内电煤供需形势趋于平稳，价格趋于稳定。9月份煤炭主产区价格对比表 二、省内电煤运行情况随着国家煤炭去产能政策的不断深入，省内煤炭产量继续下降及大量销往省外的情况给省内发电企业电煤采购工作带来了较大难度。,4150,159,5,4150,234,split_paragraph
1-9月份，陕西电网23家统调电厂累计进煤3323.82万吨(日均进煤12.17万吨)。其中：铁路运输851.92万吨，汽车运输2376.79万吨。累计耗煤3445.03万吨(日均耗煤12.62万吨)。9月份，陕西电网23家统调电厂进煤362.71万吨，环比下降22.97%。其中：铁路运输115.25万吨，环比下降0.8%;汽车运输241.24万吨，环比下降29.66%;耗煤370.73万吨，环比下降16.43%。截止9月底，省内电煤库存229.17万吨，可满足省内发电企业平均耗用19天。,4150,159,6,4150,247,split_paragraph
三、全省发、用电运行情况1-9月份，全省发、用电量均较前期有所增长。全省累计完成发电量970.27亿千瓦时，同比增长15.98%，增速较1-8月份提高1.48个百分点。全省全社会用电量975.76亿千瓦时，同比增长9.47%，增速较1-8月份提高0.21个百分点。其中：第一产业用电量31.8亿千瓦时，同比增长6.31%;第二产业用电量609.29亿千瓦时，同比增长7.58%;第三产业用电量171.04亿千瓦时，同比增长13.26%;城乡居民生活用电163.63亿千瓦时，同比增长13.56%。,4150,159,7,4150,248,split_paragraph
